userReferenceCode|kodeReferensiPengguna
numberOfOtherCreditor|krediturLainnya
worstCollectibilityColCode|kualitasTerburuk
worstCollectibilityYearMonth|kualitasBulanDataTerburuk
facility|fasilitas
securities|suratBerharga
member|ljk
memberDesc|ljkKet
office|cabang
officeDesc|cabangKet
amount|nominalSb
createdDatetime|tanggalDibentuk
updatedDatetime|tanggalUpdate
accountNo|noSuratBerharga
securityType|jenisSuratBerharga
sovereignRate|sovereignRate
isListed|listing
rating|peringkatSuratBerharga
securityOwnPurpose|tujuanKepemilikan
securityOwnPurposeDesc|tujuanKepemilikanKet
listingDate|tanggalTerbit
dueDate|tanggalJatuhTempo
interestRate|sukuBungaImbalan
currencyCode|kodeValuta
collectibilityType|kualitas
collectibilityTypeDesc|kualitasKet
overdueDays|jumlahHariTunggakan
marketValue|nilaiPasar
buyAmount|nilaiPerolehan
overdueAmount|tunggakan
nonPerformingDate|tanggalMacet
nonPerformingReason|kodeSebabMacet
nonPerformingReasonDesc|nonPerformingReasonDesc
condition|kondisi
conditionDesc|kondisiKet
conditionDate|tanggalKondisi
description|keterangan
month01Day|tahunBulan01Ht
month01ColCode|tahunBulan01Kol
month02Day|tahunBulan02Ht
month02ColCode|tahunBulan02Kol
month03Day|tahunBulan03Ht
month03ColCode|tahunBulan03Kol
month04Day|tahunBulan04Ht
month04ColCode|tahunBulan04Kol
month05Day|tahunBulan05Ht
month05ColCode|tahunBulan05Kol
month06Day|tahunBulan06Ht
month06ColCode|tahunBulan06Kol
month07Day|tahunBulan07Ht
month07ColCode|tahunBulan07Kol
month08Day|tahunBulan08Ht
month08ColCode|tahunBulan08Kol
month09Day|tahunBulan09Ht
month09ColCode|tahunBulan09Kol
month10Day|tahunBulan10Ht
month10ColCode|tahunBulan10Kol
month11Day|tahunBulan11Ht
month11ColCode|tahunBulan11Kol
month12Day|tahunBulan12Ht
month12ColCode|tahunBulan12Kol
collaterals|agunan
collateralTypeDesc|jenisAgunanKet
collateralValueMember|nilaiAgunanMenurutLJK
updatedDatetime|tanggalUpdate
collateralRegNo|nomorAgunan
contractType|jenisPengikatan
contractTypeDesc|jenisPengikatanKet
contractDate|tanggalPengikatan
collateralOwnerName|namaPemilikAgunan
collateralAddress|alamatAgunan
collateralCity|kabKotaLokasiAgunan
collateralCityDesc|kabKotaLokasiAgunanKet
memberAppraisalDate|tglPenilaianPelapor
ownershipDocument|buktiKepemilikan
collateralValueTax|nilaiAgunanNjop
collateralValueAppr|nilaiAgunanIndep
collateralAppraiserName|namaPenilaiIndep
isInsuredFlag|asuransi
collateralAppraisalDate|tanggalPenilaianPenilaiIndependen
guarantors|penjamin
guarantorName|namaPenjamin
guarantorType|kodeJenisPenjamin
guarantorTypeDesc|keteranganJenisPenjamin
guarantorAddress|alamatPenjamin
credits|kreditPembiayan
outstandingPrincipal|bakiDebet
creditNature|sifatKreditPembiayaan
creditNatureDesc|sifatKreditPembiayaanKet
creditType|jenisKreditPembiayaan
creditTypeDesc|jenisKreditPembiayaanKet
financingScheme|akadKreditPembiayaan
financingSchemeDesc|akadKreditPembiayaanKet
isNewFlag|frekPerpjganKreditPembiayaan
initialContractNo|noAkadAwal
initialContractDate|tanggalAkadAwal
lastContractNo|noAkadAkhir
lastContractDate|tanggalAkadAkhir
creditStartDate|tanggalAwalKredit
startDate|tanggalMulai
dueDate|tanggalJatuhTempo
debtorCategory|kategoriDebiturKode
debtorCategoryDesc|kategoriDebiturKet
creditUsage|jenisPenggunaan
creditUsageDesc|jenisPenggunaanKet
economicSector|sektorEkonomi
economicSectorDesc|sektorEkonomiKet
governmentProgramFlag|kreditProgramPemerintah
governmentProgramFlagDesc|kreditProgramPemerintahKet
projectCity|lokasiProyek
projectCityDesc|lokasiProyekKet
interestRate|sukuBungaImbalan
interestRateType|jenisSukuBungaImbalanKet
collectibility|kualitas
collectibilityDesc|kualitasKet
originalCreditLimit|plafonAwal
currentCreditLimit|plafon
creditLimitUsage|realisasiBulanBerjalan
overduePrincipalAmount|tunggakanPokok
overdueInterestAmount|tunggakanBunga
overdueFreq|frekuensiTunggakan
lateCharges|denda
restructureFreq|frekuensiRestrukturisasi
restructureEndDate|tanggalRestrukturisasiAkhir
lcs|lc
lcType|jenisLc
lcTypeDesc|jenisLcKet
lcIssueDate|tanggalKeluar
lcEndDate|tanggalJthTempo
counterPartyBank|bankBeneficiary
lcLimit|plafon
lcPurpose|tujuanLc
lcPurposeDesc|tujuanLcKet
lcCollateralAmount|setoraJaminan
lcDefaultDate|tanggalWanPrestasi
bankGuarantees|garansiYgDiberikan
bgAmount|nominalBg
bankGuaranteeType|jenisGaransi
bankGuaranteeTypeDesc|jenisGaransiKet
bgIssueDate|tanggalDiterbitkan
bgEndDate|tanggalJatuhTempo
guaranteeName|namaYangDijamin
bgLimit|plafon
bankGuaranteePurpose|kodeTujuanGaransi
bankGuaranteePurposeDesc|tujuanGaransiKet
collateralAmount|setoranJaminan
others|fasilitasLain
facilityAmount|nominalJumlahKwajibanIDR
facilityType|kodeJenisFasilitas
facilityTypeDesc|jenisFasilitasKet
facilityStartDate|tanggalMulai
facilityEndDate|tanggalJatuhTempo 






















	





































